image_path,raw_label,clean_label,class_name,usable_for_training,split,quality_pass,class_index
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\3fb5eac98e69.jpg,Ardinex,ardinex,ardinex,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\e2359f30a22b.jpg,Aribit (Aripiprazole) tablets,aribit aripiprazole tablets,aribit aripiprazole tablets,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\0cea3775f7e8.jpg,Aristocort,aristocort,aristocort,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\79631b73e955.jpg,Armoire à pharmacie,armoire pharmacie,armoire pharmacie,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\29175e389e25.jpg,Armolipid Milan,armolipid milan,armolipid milan,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\c809779eff00.jpg,Artificial tears brands,artificial tears brands,artificial tears brands,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\e7545e8067d8.jpg,Astamocil,astamocil,astamocil,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\82772b796e0f.jpg,Atarax,atarax,atarax,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\b738825fe48c.jpg,Atenolol tablets (UK),atenolol tablets uk,atenolol tablets uk,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\9d5379ef62d2.jpg,Avenoc,avenoc,avenoc,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\1ecfb2e9e833.jpg,Axeoil,axeoil,axeoil,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\64b32b19f0a3.jpg,Ayursun Churna & granules Division,ayursun churna granules division,ayursun churna granules division,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\9512fb1715f3.jpg,Ayursun Granules division,ayursun granules division,ayursun granules division,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\e0d3daac9ec2.jpg,Ayursun Manual Capsules Filing Machine in 1996,ayursun manual capsules filing machine in,ayursun manual capsules filing machine in,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\f04fc903b040.jpg,Ayursun Packing Division,ayursun packing division,ayursun packing division,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\b2cc70b481f1.jpg,Ayursun Pharma Blister machine division,ayursun pharma blister machine division,ayursun pharma blister machine division,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\f31eaaf6a5fc.jpg,Ayursun Pharma Packing Division,ayursun pharma packing division,ayursun pharma packing division,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\af3906f1431c.jpg,Azelaic acid cream,azelaic acid cream,azelaic acid cream,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\aa77539d19b2.jpg,AZM (Acetazolamide),azm acetazolamide,azm acetazolamide,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\d91d51a49108.jpg,Baclosan,baclosan,baclosan,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\77b393dafa94.jpg,Bactroban,bactroban,bactroban,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\f069f14398e3.jpg,Bactériophagique anti pseudomonas aeruginosa,bacteriophagique anti pseudomonas aeruginosa,bacteriophagique anti pseudomonas aeruginosa,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\5ae3d8a53ac0.jpg,Bactériophagiques pyo & pseudomonas aeruginosa,bacteriophagiques pyo pseudomonas aeruginosa,bacteriophagiques pyo pseudomonas aeruginosa,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\97992027fd21.jpg,Bactériophagiques russes staphylo & pyo,bacteriophagiques russes staphylo pyo,bacteriophagiques russes staphylo pyo,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\6b56cc557971.jpg,Barrier cream,barrier cream,barrier cream,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\8e07189bdb0c.jpg,BATHCLIN,bathclin,bathclin,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\b091f6802123.jpg,"Batulechaur Health Post, Pokhara, Nepal (10676808455)",batulechaur health post pokhara nepal,batulechaur health post pokhara nepal,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\76b9b4be6318.jpg,"Bedrocan, medicinale cannabis flos 5 gram 2",bedrocan medicinale cannabis flos gram,bedrocan medicinale cannabis flos gram,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\80e7f50a6912.jpg,Benazepril (60565172),benazepril,benazepril,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\2e910d16d969.jpg,Benepali 50 mg inj,benepali mg inj,benepali mg inj,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\989ad7838df5.jpg,Benzedrex,benzedrex,benzedrex,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\2fc8b14a4fc6.jpg,Bepanthen® — BAYER — Augen- und Nasensalbe (Dexpanthenol) mit Verpackung und Beipackzettel — Deutschland,bepanthen bayer augen- und nasensalbe dexpanthenol mit verpackung,bepanthen bayer augen und nasensalbe dexpanthenol mit verpackung,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\af04ab7fa7ac.jpg,Beta I Uruguay Cannabis Inside Package,beta uruguay cannabis inside package,beta uruguay cannabis inside package,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\ed20daa944b7.jpg,Beta I Uruguay Cannabis Outside Package,beta uruguay cannabis outside package,beta uruguay cannabis outside package,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\07369d3cc0aa.jpg,Betadine,betadine,betadine,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\45b26571ed50.jpg,Betaloc ZOK,betaloc zok,betaloc zok,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\4e94e476daf9.png,Betaserc,betaserc,betaserc,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\7058550a7ef3.png,Biological Immunomodulator,biological immunomodulator,biological immunomodulator,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\1b5b0b163767.jpg,"Bisoprolol 2,5 mg",bisoprolol mg,bisoprolol mg,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\4908795739af.jpg,Boite de Protelos,boite de protelos,boite de protelos,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\dee73b26f0d1.jpg,Bortezomib sobhan oncology,bortezomib sobhan oncology,bortezomib sobhan oncology,False,excluded,False,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\96273e3c43ea.jpg,"Bottle, chemist (AM 1999.77.5-1)",bottle chemist am -1,bottle chemist am 1,True,train,True,1
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\b8dbd4182403.jpg,"Bottle, chemist (AM 1999.77.5-2)",bottle chemist am -2,bottle chemist am 2,True,val,True,2
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\60eb70bfa8b9.jpg,"Bottle, chemist (AM 1999.77.5-3)",bottle chemist am -3,bottle chemist am 3,True,train,True,3
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\500bc31c13bb.jpg,"Bottle, chemist (AM 1999.77.7-1)",bottle chemist am -1,bottle chemist am 1,True,val,True,1
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\b8c085adf97f.jpg,"Bottle, chemist (AM 1999.77.7-2)",bottle chemist am -2,bottle chemist am 2,True,train,False,2
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\e54bc9999137.jpg,"Bottle, chemist (AM 1999.77.7-3)",bottle chemist am -3,bottle chemist am 3,True,val,True,3
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\1479f1edc393.jpg,"Bottle, chemists (AM 1999.77.1-1)",bottle chemists am -1,bottle chemists am 1,False,excluded,False,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\30f743b5bf30.jpg,"Bottle, chemists (AM 1999.77.1-2)",bottle chemists am -2,bottle chemists am 2,False,excluded,False,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\062eb2b80b91.jpg,"Bottle, chemists (AM 1999.77.1-5)",bottle chemists am -5,bottle chemists am 5,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\7ea24101d86d.jpg,Box of Colchicine,box of colchicine,box of colchicine,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\fbe66678eed2.jpg,"Boxes, pharmaceutical (AM 629232-11)",boxes pharmaceutical am 629232-11,boxes pharmaceutical am 629232 11,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\a4e6dec70628.jpg,"Boxes, pharmaceutical (AM 629232-14)",boxes pharmaceutical am 629232-14,boxes pharmaceutical am 629232 14,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\be74b2ce9963.jpg,"Boxes, pharmaceutical (AM 629232-15)",boxes pharmaceutical am 629232-15,boxes pharmaceutical am 629232 15,False,excluded,False,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\7c402f11b2bf.jpg,"Boxes, pharmaceutical (AM 629232-2)",boxes pharmaceutical am 629232-2,boxes pharmaceutical am 629232 2,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\1185ed6f3c93.jpg,"Boxes, pharmaceutical (AM 629232-20)",boxes pharmaceutical am 629232-20,boxes pharmaceutical am 629232 20,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\b51234310c4f.jpg,"Boxes, pharmaceutical (AM 629232-21)",boxes pharmaceutical am 629232-21,boxes pharmaceutical am 629232 21,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\d6355cbf8622.jpg,"Boxes, pharmaceutical (AM 629232-28)",boxes pharmaceutical am 629232-28,boxes pharmaceutical am 629232 28,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\8ca4e01a6667.jpg,"Boxes, pharmaceutical (AM 629232-3)",boxes pharmaceutical am 629232-3,boxes pharmaceutical am 629232 3,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\6eaa72d2359d.jpg,"Boxes, pharmaceutical (AM 629232-32)",boxes pharmaceutical am 629232-32,boxes pharmaceutical am 629232 32,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\c973fa68db61.jpg,"Boxes, pharmaceutical (AM 629232-33)",boxes pharmaceutical am 629232-33,boxes pharmaceutical am 629232 33,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\bf79e09aa4f4.jpg,"Boxes, pharmaceutical (AM 629232-38)",boxes pharmaceutical am 629232-38,boxes pharmaceutical am 629232 38,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\4016831c5c00.jpg,"Boxes, pharmaceutical (AM 629232-4)",boxes pharmaceutical am 629232-4,boxes pharmaceutical am 629232 4,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\20a5226d69b6.jpg,"Boxes, pharmaceutical (AM 629232-41)",boxes pharmaceutical am 629232-41,boxes pharmaceutical am 629232 41,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\e6e08321c553.jpg,"Boxes, pharmaceutical (AM 629232-42)",boxes pharmaceutical am 629232-42,boxes pharmaceutical am 629232 42,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\7bc3f4ef890c.jpg,"Boxes, pharmaceutical (AM 629232-5)",boxes pharmaceutical am 629232-5,boxes pharmaceutical am 629232 5,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\89926ece00ac.jpg,"Boxes, pharmaceutical (AM 629232-6)",boxes pharmaceutical am 629232-6,boxes pharmaceutical am 629232 6,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\b636783ea7bc.jpg,Boîte de 30 comprimés sécables de Solian 100mg (amisulpride),boite de comprimes secables de solian 100mg amisulpride,boite de comprimes secables de solian 100mg amisulpride,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\d4145dea2cd3.jpg,Boîte de Dogmatil 50 mg,boite de dogmatil mg,boite de dogmatil mg,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\5698c50094fc.jpg,Brilliant green 1a,brilliant green 1a,brilliant green 1a,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\7941dffc54dd.jpg,Buprenorphine naloxone Tablets Bottle,buprenorphine naloxone tablets bottle,buprenorphine naloxone tablets bottle,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\2a62df154f08.jpg,"Cachets Mijnhardt, Mijnhardtjes, tegen griep en pijn, pic2",cachets mijnhardt mijnhardtjes tegen griep en pijn pic2,cachets mijnhardt mijnhardtjes tegen griep en pijn pic2,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\eeb0aaae15ae.jpg,Caffetin Alkaloid,caffetin alkaloid,caffetin alkaloid,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\626181ebe2c4.jpg,"Calcium gluconicum, Farmapol Poznan, 1984",calcium gluconicum farmapol poznan,calcium gluconicum farmapol poznan,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\fb55dea3a350.jpg,"Calcocylin, German medication for headache, flu, toothache and musscle ache, 1940s",calcocylin german medication for headache flu toothache and,calcocylin german medication for headache flu toothache and,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\a5ae416032da.jpg,Canesten,canesten,canesten,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\3237a2d0b198.jpg,Carbo sal,carbo sal,carbo sal,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\7b41f57d25bb.jpg,Cardiac Epinephrine (cropped),cardiac epinephrine cropped,cardiac epinephrine cropped,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\5e6c3b411e90.jpg,Carisoprodol packaging,carisoprodol packaging,carisoprodol packaging,False,excluded,False,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\20b92d4e5f66.jpg,Castor oil 1825,castor oil,castor oil,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\d65c6942d167.jpg,Cerebrolysin,cerebrolysin,cerebrolysin,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\fec12e2a9064.jpg,Ciklopirox,ciklopirox,ciklopirox,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\5d93bb7c2c61.jpg,Ciproxine 500,ciproxine,ciproxine,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\5c544a220d65.jpg,Claustrogex,claustrogex,claustrogex,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\70019e6f2257.jpg,Cleviprex 50ml 100ml vial,cleviprex 50ml 100ml vial,cleviprex 50ml 100ml vial,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\d8b28784bb58.jpg,CLORAXENE Clorazepate 10mg,cloraxene clorazepate 10mg,cloraxene clorazepate 10mg,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\69aa0dcc073c.jpg,Clotrimazol óvulos 500,clotrimazol ovulos,clotrimazol ovulos,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\57215e5335bf.jpg,Cocillana,cocillana,cocillana,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\3d76dfea0ae2.jpg,COCP Regulon (box) 01,cocp regulon box,cocp regulon box,True,train,True,4
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\7c8644035d27.jpg,COCP Regulon (box) 02,cocp regulon box,cocp regulon box,True,val,True,4
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\3e3a0f59e124.jpg,Codeinum phosphoricum forte Compren Desma,codeinum phosphoricum forte compren desma,codeinum phosphoricum forte compren desma,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\22dc2f3a965b.jpg,CODITAM,coditam,coditam,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\bc26fd83bc18.jpg,Collage etichette farmaci anni 50,collage etichette farmaci anni,collage etichette farmaci anni,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\318e15ee775c.jpg,Concor Sales In China,concor sales in china,concor sales in china,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\0ebcce253e95.jpg,Convulex - 300mg,convulex 300mg,convulex 300mg,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\02d52a204d4b.jpg,Copaxone,copaxone,copaxone,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\cb4caa1a30f8.jpg,Corinfar TEVA,corinfar teva,corinfar teva,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\9689f4742c23.jpg,Coronavac (Brazilian version) 2021 P,coronavac brazilian version,coronavac brazilian version,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\32e9ef4dade3.jpg,Cortizone 10 with Aloe1,cortizone with aloe1,cortizone with aloe1,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\e9e0b38ca36f.jpg,Cosopt Korean,cosopt korean,cosopt korean,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\83fbce8a6e0c.jpg,Cough medicine002,cough medicine002,cough medicine002,False,excluded,True,
